INFO:root:World initiialized
INFO:root:Populating world with 100 particles
INFO:root:World populated
INFO:root:Running simulation for 1000 ticks
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 258, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 269, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 280, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 291, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 302, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 313, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 324, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 335, j: 3, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 65, j: 35, c: 48
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 346, j: 3, c: 96
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 357, j: 3, c: 96
DEBUG:root:Merging to 2nd particle. 1st mass 77, 2nd mass 80, j: 82, c: 44
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 368, j: 3, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 379, j: 3, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 390, j: 3, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 401, j: 3, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 412, 2nd mass 566, j: 90, c: 3
DEBUG:root:Merging to 2nd particle. 1st mass 14, 2nd mass 978, j: 89, c: 57
DEBUG:root:Merging to 2nd particle. 1st mass 36, 2nd mass 81, j: 77, c: 31
DEBUG:root:Merging to 2nd particle. 1st mass 53, 2nd mass 67, j: 79, c: 80
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 992, j: 86, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1003, j: 86, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1014, j: 86, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1025, j: 86, c: 91
